file_name,label
southcentre_mall_window=1_gun=0.png,0
southcentre_mall_window=1_vol=8%_gun=1.png,1
southcentre_mall_window=1_vol=35%_gun=1.png,1
southcentre_mall_window=1_vol=70%_gun=1.png,1
southcentre_mall_window=2_gun=0.png,0
southcentre_mall_window=2_vol=8%_gun=0.png,0
southcentre_mall_window=2_vol=35%_gun=0.png,0
southcentre_mall_window=2_vol=70%_gun=0.png,0
southcentre_mall_window=3_gun=0.png,0
southcentre_mall_window=3_vol=8%_gun=1.png,1
southcentre_mall_window=3_vol=35%_gun=1.png,1
southcentre_mall_window=3_vol=70%_gun=1.png,1
southcentre_mall_window=4_gun=0.png,0
southcentre_mall_window=4_vol=8%_gun=1.png,1
southcentre_mall_window=4_vol=35%_gun=1.png,1
southcentre_mall_window=4_vol=70%_gun=1.png,1
southcentre_mall_window=5_gun=0.png,0
southcentre_mall_window=5_vol=8%_gun=0.png,0
southcentre_mall_window=5_vol=35%_gun=0.png,0
southcentre_mall_window=5_vol=70%_gun=0.png,0
southcentre_mall_window=6_gun=0.png,0
southcentre_mall_window=6_vol=8%_gun=1.png,1
southcentre_mall_window=6_vol=35%_gun=1.png,1
southcentre_mall_window=6_vol=70%_gun=1.png,1
southcentre_mall_window=7_gun=0.png,0
southcentre_mall_window=7_vol=8%_gun=0.png,0
southcentre_mall_window=7_vol=35%_gun=0.png,0
southcentre_mall_window=7_vol=70%_gun=0.png,0
southcentre_mall_window=8_gun=0.png,0
southcentre_mall_window=8_vol=8%_gun=1.png,1
southcentre_mall_window=8_vol=35%_gun=1.png,1
southcentre_mall_window=8_vol=70%_gun=1.png,1
southcentre_mall_window=9_gun=0.png,0
southcentre_mall_window=9_vol=8%_gun=0.png,0
southcentre_mall_window=9_vol=35%_gun=0.png,0
southcentre_mall_window=9_vol=70%_gun=0.png,0
southcentre_mall_window=10_gun=0.png,0
southcentre_mall_window=10_vol=8%_gun=1.png,1
southcentre_mall_window=10_vol=35%_gun=1.png,1
southcentre_mall_window=10_vol=70%_gun=1.png,1
southcentre_mall_window=11_gun=0.png,0
southcentre_mall_window=11_vol=8%_gun=1.png,1
southcentre_mall_window=11_vol=35%_gun=1.png,1
southcentre_mall_window=11_vol=70%_gun=1.png,1
southcentre_mall_window=12_gun=0.png,0
southcentre_mall_window=12_vol=8%_gun=1.png,1
southcentre_mall_window=12_vol=35%_gun=1.png,1
southcentre_mall_window=12_vol=70%_gun=1.png,1
southcentre_mall_window=13_gun=0.png,0
southcentre_mall_window=13_vol=8%_gun=1.png,1
southcentre_mall_window=13_vol=35%_gun=1.png,1
southcentre_mall_window=13_vol=70%_gun=1.png,1
southcentre_mall_window=14_gun=0.png,0
southcentre_mall_window=14_vol=8%_gun=1.png,1
southcentre_mall_window=14_vol=35%_gun=1.png,1
southcentre_mall_window=14_vol=70%_gun=1.png,1
southcentre_mall_window=15_gun=0.png,0
southcentre_mall_window=15_vol=8%_gun=1.png,1
southcentre_mall_window=15_vol=35%_gun=1.png,1
southcentre_mall_window=15_vol=70%_gun=1.png,1
southcentre_mall_window=16_gun=0.png,0
southcentre_mall_window=16_vol=8%_gun=1.png,1
southcentre_mall_window=16_vol=35%_gun=1.png,1
southcentre_mall_window=16_vol=70%_gun=1.png,1
southcentre_mall_window=17_gun=0.png,0
southcentre_mall_window=17_vol=8%_gun=1.png,1
southcentre_mall_window=17_vol=35%_gun=1.png,1
southcentre_mall_window=17_vol=70%_gun=1.png,1
southcentre_mall_window=18_gun=0.png,0
southcentre_mall_window=18_vol=8%_gun=0.png,0
southcentre_mall_window=18_vol=35%_gun=0.png,0
southcentre_mall_window=18_vol=70%_gun=0.png,0
southcentre_mall_window=19_gun=0.png,0
southcentre_mall_window=19_vol=8%_gun=0.png,0
southcentre_mall_window=19_vol=35%_gun=0.png,0
southcentre_mall_window=19_vol=70%_gun=0.png,0
southcentre_mall_window=20_gun=0.png,0
southcentre_mall_window=20_vol=8%_gun=1.png,1
southcentre_mall_window=20_vol=35%_gun=1.png,1
southcentre_mall_window=20_vol=70%_gun=1.png,1
southcentre_mall_window=21_gun=0.png,0
southcentre_mall_window=21_vol=8%_gun=1.png,1
southcentre_mall_window=21_vol=35%_gun=1.png,1
southcentre_mall_window=21_vol=70%_gun=1.png,1
southcentre_mall_window=22_gun=0.png,0
southcentre_mall_window=22_vol=8%_gun=1.png,1
southcentre_mall_window=22_vol=35%_gun=1.png,1
southcentre_mall_window=22_vol=70%_gun=1.png,1
southcentre_mall_window=23_gun=0.png,0
southcentre_mall_window=23_vol=8%_gun=0.png,0
southcentre_mall_window=23_vol=35%_gun=0.png,0
southcentre_mall_window=23_vol=70%_gun=0.png,0
southcentre_mall_window=24_gun=0.png,0
southcentre_mall_window=24_vol=8%_gun=1.png,1
southcentre_mall_window=24_vol=35%_gun=1.png,1
southcentre_mall_window=24_vol=70%_gun=1.png,1
southcentre_mall_window=25_gun=0.png,0
southcentre_mall_window=25_vol=8%_gun=1.png,1
southcentre_mall_window=25_vol=35%_gun=1.png,1
southcentre_mall_window=25_vol=70%_gun=1.png,1
southcentre_mall_window=26_gun=0.png,0
southcentre_mall_window=26_vol=8%_gun=0.png,0
southcentre_mall_window=26_vol=35%_gun=0.png,0
southcentre_mall_window=26_vol=70%_gun=0.png,0
southcentre_mall_window=27_gun=0.png,0
southcentre_mall_window=27_vol=8%_gun=1.png,1
southcentre_mall_window=27_vol=35%_gun=1.png,1
southcentre_mall_window=27_vol=70%_gun=1.png,1
southcentre_mall_window=28_gun=0.png,0
southcentre_mall_window=28_vol=8%_gun=1.png,1
southcentre_mall_window=28_vol=35%_gun=1.png,1
southcentre_mall_window=28_vol=70%_gun=1.png,1
southcentre_mall_window=29_gun=0.png,0
southcentre_mall_window=29_vol=8%_gun=1.png,1
southcentre_mall_window=29_vol=35%_gun=1.png,1
southcentre_mall_window=29_vol=70%_gun=1.png,1
southcentre_mall_window=30_gun=0.png,0
southcentre_mall_window=30_vol=8%_gun=1.png,1
southcentre_mall_window=30_vol=35%_gun=1.png,1
southcentre_mall_window=30_vol=70%_gun=1.png,1
southcentre_mall_window=31_gun=0.png,0
southcentre_mall_window=31_vol=8%_gun=1.png,1
southcentre_mall_window=31_vol=35%_gun=1.png,1
southcentre_mall_window=31_vol=70%_gun=1.png,1
